run	arquivo	bytes	sha256
run000	splat.ply	1368256554	2d45ebd6de2b9b0ee840333348f92b9772bbc8c0a81ca5ba9804dd1f4ea44c9a
run000	val_png_count	24	-
run000	dir_total_bytes	1512055304	-
run001	splat.ply	1368706134	df958f5db100724ec457c3dfdc4af09eded21ac118739f8c65949ae396f957f0
run001	val_png_count	24	-
run001	dir_total_bytes	1512496777	-
run002	splat.ply	1371197822	e4bc9f88fa8eae6685064861f12c900f923fd8d9ff68aaa529367cdf8e29e422
run002	val_png_count	24	-
run002	dir_total_bytes	1514995420	-
run003	splat.ply	1366312622	392844f2e1fe443f7261e5185b3e2e98541cd0b92e5fe4787ec04af16bb28abf
run003	val_png_count	24	-
run003	dir_total_bytes	1510118890	-
run004	splat.ply	1370619386	081721d940b67c8dacc026073393732bab6647537e6e48086e84b65a19258d8b
run004	val_png_count	24	-
run004	dir_total_bytes	1514396345	-
run005	splat.ply	1365187138	2bc7cb589862081fe56358fa63b62f78fa117deb00d0f0561aff2b14010aefb5
run005	val_png_count	24	-
run005	dir_total_bytes	1508994953	-
run006	splat.ply	1358727346	3981dd9359be51b1c33e22ea2d360c30557dc884b63200a6a9a83840d9c625ef
run006	val_png_count	24	-
run006	dir_total_bytes	1502529414	-
run007	splat.ply	1372031138	1ce9642a28ccec66198fbbc97565eb792e70f5b57cc98bbf35b23a3c61c8101b
run007	val_png_count	24	-
run007	dir_total_bytes	1515810190	-
run008	splat.ply	1369417202	c45d789559eb667b6de0765070c27fe4b8254fdd767ea309f491aa5beb56a3ea
run008	val_png_count	24	-
run008	dir_total_bytes	1513202455	-
run009	splat.ply	1370993210	89738fefdbe26479eef1c895b79b473a945608057af8023f721ffb4805e9258e
run009	val_png_count	24	-
run009	dir_total_bytes	1514809543	-
run010	splat.ply	1369230762	d0686e4aefa08143010b7c17797d66d677dd9999e57bbcfcf620a4d7276eb574
run010	val_png_count	24	-
run010	dir_total_bytes	1513023204	-
run011	splat.ply	1375097014	fa5aef5932af52c640fa1a1d530bfab7561db093401ee70e9676ad6994a843b2
run011	val_png_count	24	-
run011	dir_total_bytes	1518908790	-
run012	splat.ply	1367909398	18c013f4acc149a1150a44f0d062e67d7692c94593e365ddc156dc1c911c579a
run012	val_png_count	24	-
run012	dir_total_bytes	1511709747	-
run013	splat.ply	1371079586	0c92fb524e5fdee0bf351094e2b775c7993356847689a53ab54ee030dfdc8b01
run013	val_png_count	24	-
run013	dir_total_bytes	1514869083	-
run014	splat.ply	1373655762	ae6b5884359b244b0cbea79b0ae145718b07e2f123124c06965b26d620da52d0
run014	val_png_count	24	-
run014	dir_total_bytes	1517462970	-
run015	splat.ply	1376430178	28b9d07d08ffe3446d4a4c82d61dacff991a16b610dbd04ccaa9da835737c258
run015	val_png_count	24	-
run015	dir_total_bytes	1520220868	-
run016	splat.ply	1367082690	dbfd731b9317227241bb140b1f8095fe7a759d708ca09dc609add4ba2719eeb2
run016	val_png_count	24	-
run016	dir_total_bytes	1510861128	-
run017	splat.ply	1364161718	a526cccd59c23b1d6d5c64112d5d2b428850c7131d1b4b23591b8f63a797c4ca
run017	val_png_count	24	-
run017	dir_total_bytes	1507949225	-
run018	splat.ply	1371536482	57de4c624ad70dd33a18688b6873ba9e261a3478470c0eae654a8351e00500bc
run018	val_png_count	24	-
run018	dir_total_bytes	1515321234	-
run019	splat.ply	1365825518	d0ba5a2a35b66a6973ffb8f1b31b845d065c380ffdd55a3901d00fabc8488697
run019	val_png_count	24	-
run019	dir_total_bytes	1509641475	-
run020	splat.ply	1371754310	582cb52ec272d52c6bd630babc74172e58a0fe38400d9d939e9613a6ce8933f7
run020	val_png_count	24	-
run020	dir_total_bytes	1515563150	-
run021	splat.ply	1371328802	8bf03ad45312e57dfc5e5633845c36611ae05f1980859a9264bc6d6aedf7ab17
run021	val_png_count	24	-
run021	dir_total_bytes	1515130944	-
run022	splat.ply	1366938494	6c61c1626615c8d25ee2821ed85543752de4eccd9b57ee44215550ee670138b2
run022	val_png_count	24	-
run022	dir_total_bytes	1510732814	-
run023	splat.ply	1370384566	ef9abaf0ff7b001c7d27cb4a9bc185a297baff13dbce1b99b97b91b559eb30a7
run023	val_png_count	24	-
run023	dir_total_bytes	1514169031	-
run024	splat.ply	1373117210	e39626b35fc1af0f53414c35d23423949783d08a82f65da5a0bc06555c5f88b5
run024	val_png_count	24	-
run024	dir_total_bytes	1516931106	-
run025	splat.ply	1373995602	6ebfa6a437e3e676f949623eb6b433948656b54de2fe0febb62e1e37090851aa
run025	val_png_count	24	-
run025	dir_total_bytes	1517785784	-
run026	splat.ply	1370762166	a431f7f12e89e2fad10dac1b10ca204274e8ff60bb676aaf086a76df9c934ac3
run026	val_png_count	24	-
run026	dir_total_bytes	1514561935	-
run027	splat.ply	1368526538	2db9bb4db762cf8c19bc4be49af005d055b2af4a6aa2c7419478aa337ae6e8a7
run027	val_png_count	24	-
run027	dir_total_bytes	1512338285	-
run028	splat.ply	1372994726	29368d184c5c0b9e7ce12db227480abc78aae827f0ee3c1c141c6e3952532813
run028	val_png_count	24	-
run028	dir_total_bytes	1516807138	-
run029	splat.ply	1370241078	3f2a1b0331ce057edcf6594ce36c37b32bb9ab30bd20acba7471d8bd607b8ea4
run029	val_png_count	24	-
run029	dir_total_bytes	1514055441	-
