run	arquivo	bytes	sha256
run000	splat.ply	1369288110	39474c3057b37a4ff9abe9e0f0c08970ec07a499e6b1856bd726b630c7674993
run000	val_png_count	24	-
run000	dir_total_bytes	1513072197	-
run001	splat.ply	1366283830	b8674bcdd9b3a3152f0ef88143dc879de2e270a20d07cac6ef8076990474b124
run001	val_png_count	24	-
run001	dir_total_bytes	1510091658	-
run002	splat.ply	1365799558	ce8e236beb5358419458c79ca17768ff18b2c0b4862308de0b376ef3b49fd3b2
run002	val_png_count	24	-
run002	dir_total_bytes	1509560073	-
run003	splat.ply	1367917894	36c8e47640afd53732284fd2e951ae31f54d9341fbcddec7636538ef65c351a3
run003	val_png_count	24	-
run003	dir_total_bytes	1511705880	-
run004	splat.ply	1357740866	51037f8413653754884c7e45e382513ebde35e3ebb8950e43a6f6c4ea7e0e380
run004	val_png_count	24	-
run004	dir_total_bytes	1501526388	-
run005	splat.ply	1360304062	a77080e11d4be9287a453f54fa28e2fdd62a1149091d7c933a757071ffc90440
run005	val_png_count	24	-
run005	dir_total_bytes	1504071801	-
run006	splat.ply	1370543866	dcf80347c957948e1c69fc33d24c4eac4d57514f50868816a0e6bb78fa5a8b56
run006	val_png_count	24	-
run006	dir_total_bytes	1514343988	-
run007	splat.ply	1365854546	fa9c7e553051450d699f916c2943c69c492dc38abee63ae299fccff2c665da37
run007	val_png_count	24	-
run007	dir_total_bytes	1509665984	-
run008	splat.ply	1370481798	cf680733fd1d6880e394618eaf1cec7de7d6f6621a5beb797556c7d0d2dcaedc
run008	val_png_count	24	-
run008	dir_total_bytes	1514234484	-
run009	splat.ply	1367352674	4a91ff521f3ef7f07ad585b60e239826cd3c8ca2853804bc0d1cd25e2c446cb4
run009	val_png_count	24	-
run009	dir_total_bytes	1511132058	-
run010	splat.ply	1361539522	b0500a221099259a71075ee72e7e83ff675a52474fa2d2fe9587fdf2c384df76
run010	val_png_count	24	-
run010	dir_total_bytes	1505321888	-
run011	splat.ply	1373244178	712ee35707c170af07aa912b9e2885b9aa19114188fc96fb36ad8db67e7b572f
run011	val_png_count	24	-
run011	dir_total_bytes	1517046679	-
run012	splat.ply	1364657790	071a3115f8b8a438b1f207f76a5d5fac7c5fba770db875bcb8b18c3b14c62873
run012	val_png_count	24	-
run012	dir_total_bytes	1508429332	-
run013	splat.ply	1364883406	499c4a88550013cbb35ae07f09c837c75cb1a9883d40f372e0adb1c68cddb919
run013	val_png_count	24	-
run013	dir_total_bytes	1508674017	-
run014	splat.ply	1376336250	87282781249404e01e69cd408842669bf348291d5a0f442ea7ef98a79d95b2c7
run014	val_png_count	24	-
run014	dir_total_bytes	1520122552	-
run015	splat.ply	1368258678	ea916c5be004a24895706af738335825baad2b917ad708fe0cd9071ec2e64cbf
run015	val_png_count	24	-
run015	dir_total_bytes	1512046442	-
run016	splat.ply	1369332242	b9fadfa481b3fafde14206196fc3cda081bdcce624aa114512bf2e02bc8b42d3
run016	val_png_count	24	-
run016	dir_total_bytes	1513127571	-
run017	splat.ply	1367606610	f5e06cb28543de542a61ab6ee82aa902ae169dde2b69116260d40234f37bdd50
run017	val_png_count	24	-
run017	dir_total_bytes	1511402447	-
run018	splat.ply	1366045470	92f369192ca563e8c4c1d5c4c69e95cdbe4dd531038c2d69daf43ed1fe2fb0d7
run018	val_png_count	24	-
run018	dir_total_bytes	1509826886	-
run019	splat.ply	1367683074	823321d6cfc351a9efa7b2312eacb360ec0978a261e4bb4ee6527883327a5ec4
run019	val_png_count	24	-
run019	dir_total_bytes	1511469149	-
run020	splat.ply	1375198494	36961f1371f24b4d5f29523442d55024a274c8f16ff25705d96a2a6896ae20d8
run020	val_png_count	24	-
run020	dir_total_bytes	1519013423	-
run021	splat.ply	1364000058	b1af9616ded8a8740f84027541725656e7b4c342f6af70b273d0ed78016c3ebb
run021	val_png_count	24	-
run021	dir_total_bytes	1507802698	-
run022	splat.ply	1374723190	5296db312eeda3c1ec910098efcc20edd2575667354012e5fc210d986e9873d1
run022	val_png_count	24	-
run022	dir_total_bytes	1518518459	-
run023	splat.ply	1370194114	71c9f9793349708b3631cfcdbe91a61a33f143a272340bef199d30cff99f0e5d
run023	val_png_count	24	-
run023	dir_total_bytes	1513973739	-
run024	splat.ply	1367365654	3cc3fcaa5f31f3fc1b73f5beaa125e97741becef6dc1f415cdf7ed4a7dffd7ae
run024	val_png_count	24	-
run024	dir_total_bytes	1511167439	-
run025	splat.ply	1369777102	0a6c52614a2b714e048d9f8efd04abbc3814fed14505e350c17402996cdf52d2
run025	val_png_count	24	-
run025	dir_total_bytes	1513554609	-
run026	splat.ply	1362765542	c916fa20e97d0916ff00cddecb159271b8aa1fbf4d2b395d5e7de70b9e323346
run026	val_png_count	24	-
run026	dir_total_bytes	1506567879	-
run027	splat.ply	1367630446	722a6c54ed537ed874d387d378545249de21f5756e505b4ac0c5f19e61226ac6
run027	val_png_count	24	-
run027	dir_total_bytes	1511431412	-
run028	splat.ply	1370020418	bebbdab1a3ee4254b1af49adf8f623d06573edf3daf4181b0593d5db9675eb0e
run028	val_png_count	24	-
run028	dir_total_bytes	1513796137	-
run029	splat.ply	1360230902	d92f34b209ed4d4700cba80abb501f0247b3453eba4f2e20a0ea57e5ec1d597e
run029	val_png_count	24	-
run029	dir_total_bytes	1504030518	-
